# Example expense CSV file for batch import
# Format: <item_description>;<DD/MM>;<value_in_##,##>;<subcategory>
#
# Notes:
#   - Date year is always 2025
#   - Value uses Brazilian format (comma as decimal separator)
#   - Lines starting with # are comments and will be skipped
#   - Empty lines are ignored
#
# Usage:
#   expense-reporter batch expenses.csv
#   expense-reporter batch expenses.csv --backup

# Transportation expenses
Uber Centro;15/04;35,50;Uber/Taxi
Uber Aeroporto;18/04;65,00;Uber/Taxi
Combustível posto;10/04;250,00;Combustível

# Food and groceries
Compras Carrefour;03/01;150,00;Supermercado
Feira orgânica;05/01;80,00;Feira
Pão francês;22/12;8,50;Padaria

# Pet expenses (shows smart matching)
Consulta vet;10/03;180,00;Orion - Consultas
Ração;15/03;120,00;Lilly

# Utilities
Conta de luz;05/01;320,00;Luz
Conta de água;05/01;85,00;Água

# Additional examples
Lanche restaurante;20/04;45,00;Alimentação Fora de Casa
Remédio farmácia;12/03;55,00;Medicamentos
